,DOI,Publisher,Funders,Funder Id,RoRID (Funder),Author(s),Article Title,Journal Name,Online Publication Date,Print Publication Date,Last Audited On,Publicly Accessible On Publisher Site,License Type,License URL,Reuse License Start Date,Agency Portal URL,Type,Added,Updated,ORCID,Grant ID,Archived,Datasets,CHORUS Verified OA,Audit Source,Funder Source
3243,10.1016/j.jhydrol.2024.130704,Elsevier BV,NASA,10.13039/100000104,https://ror.org/027ka1x80,Ding Meng;Langston Abigail L.;Marston Landon;Shawn Hutchinson J.M.;Sheng Yongwei;Song Chunqiao;Wang Jida,A framework of freshwater and saline lake typology classification through leveraging hydroclimate spectral and literature evidence,Journal of Hydrology,,2024-03-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,23/02/2025,,journal-article,27/1/2024,14/9/2024,,80NSSC20K1143,Yes,,Unknown,,Crossref
3244,10.3847/1538-4357/ad165a,American Astronomical Society,NASA;NASA;NSF;NSF;NSF;NSF;NSF;NSF;NSF,10.13039/100000104;10.13039/100000104;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62,Alcock Charles;Emami Razieh;Forbes John C.;Hernquist Lars;Liska Matthew;Moreno Jorge;Peterson Colton;Shen Xuejian;Smith Randall;Tremblay Grant;Vogelsberger Mark;Waters Thomas K.,Gas Morphology of Milky Waylike Galaxies in the TNG50 Simulation: Signals of Twisting and Stretching,The Astrophysical Journal,2024-01-25,2024-01-02,10/7/2024,25/1/2024,vor,http://creativecommons.org/licenses/by/4.0/,25/01/2024,,journal-article,27/1/2024,17/4/2024,,NNX17AG29G;21-atp21-0077;AST 1852268;AST 2050813;AST-1816420;HST-GO-16173.001-A;AST-1814053;AST-1814259;AST-1909831,Yes,,Yes,CHORUS,Crossref
3245,10.3847/1538-4357/ad02f0,American Astronomical Society,NASA ∣ GSFC ∣ Astrophysics Science Division;NASA ∣ GSFC ∣ Astrophysics Science Division;NASA ∣ GSFC ∣ Astrophysics Science Division;NSF ∣ CISE ∣ Office of Advanced Cyberinfrastructure;NSF ∣ EDU ∣ Division of Graduate Education;NSF ∣ MPS ∣ Division of Astronomical Sciences;NSF ∣ MPS ∣ Division of Astronomical Sciences;NSF ∣ MPS ∣ Division of Astronomical Sciences;NSF ∣ MPS ∣ Division of Astronomical Sciences;NSF ∣ MPS ∣ Division of Astronomical Sciences,10.13039/100007726;10.13039/100007726;10.13039/100007726;10.13039/100000105;10.13039/100000082;10.13039/100000164;10.13039/100000164;10.13039/100000164;10.13039/100000164;10.13039/100000164,https://ror.org/0401vze59;https://ror.org/0401vze59;https://ror.org/0401vze59;https://ror.org/04nh1dc89;https://ror.org/00whkrf32;https://ror.org/04mg8wm74;https://ror.org/04mg8wm74;https://ror.org/04mg8wm74;https://ror.org/04mg8wm74;https://ror.org/04mg8wm74,Gottlieb Ore;Jacquemin-Ide Jonatan;Lowell Beverly;Tchekhovskoy Alexander,Collapsar Gamma-Ray Bursts Grind Their Black Hole Spins to a Halt,The Astrophysical Journal,2024-01-29,2024-01-02,10/7/2024,29/1/2024,vor,http://creativecommons.org/licenses/by/4.0/,29/01/2024,,journal-article,5/2/2024,,,80NSSC21K1746;TM1-22005X;NAS8-03060;OAC-2031997;DGE-2234667;AST- 2009884;AST-2107839;AST-1815304;AST-1911080;AST-2206471,Yes,,Yes,CHORUS,Crossref
3247,10.1016/j.cma.2024.116747,Elsevier BV,American Institute of Aeronautics and Astronautics;NASA,10.13039/100030739;10.13039/100000104,https://ror.org/027ka1x80,Higgs C. Fred;Wagner Joshua J.,Coupled CFD-DEM simulation of interfacial fluidparticle interaction during binder jet 3D printing,Computer Methods in Applied Mechanics and Engineering,,2024-03-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,07/02/2026,,journal-article,10/2/2024,14/9/2024,,80NSSC19K1171,Yes,,Unknown,,Crossref
3248,10.3847/1538-4357/ad1991,American Astronomical Society,Academy of Finland;Agenzia Spaziale Italiana;Agenzia Spaziale Italiana;Agenzia Spaziale Italiana;Agenzia Spaziale Italiana;Agenzia Spaziale Italiana;NASA ∣ Marshall Space Flight Center,10.13039/501100002341;10.13039/501100003981;10.13039/501100003981;10.13039/501100003981;10.13039/501100003981;10.13039/501100003981;10.13039/100006197,https://ror.org/05k73zm37;https://ror.org/034zgem50;https://ror.org/034zgem50;https://ror.org/034zgem50;https://ror.org/034zgem50;https://ror.org/034zgem50;https://ror.org/02epydz83,Capitanio Fiamma;Costa Enrico;Fabiani Sergio;Kravtsov Vadim;La Monaca Fabio;Marco Alessandro Di;Marin Frédéric;Marra Lorenzo;Matt Giorgio;Muleri Fabio;Poutanen Juri;Rankin John;Soffitta Paolo,X-Ray Polarimetry as a Tool to Constrain Orbital Parameters in X-Ray Binaries,The Astrophysical Journal,2024-05-02,2024-01-02,10/7/2024,5/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,05/02/2024,,journal-article,10/2/2024,14/9/2024,,333112;ASI-OHBI-2022-13-I.0;ASI-INAF- 338 2022-19-HH.0;ASI-INFN-2017.13-H0;ASI- 340 INAF-2022-14-HH.0;ASI-INFN 2021-43-HH.0;NNM15AA18C,Yes,,Yes,CHORUS,Crossref
3249,10.3847/1538-4357/ad1a17,American Astronomical Society,NASA;NSF;NSF,10.13039/100000104;10.13039/100000001;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62,Haiman Zoltán;MacFadyen Andrew;Westernacher-Schneider John Ryan;Zrake Jonathan,Eccentric Minidisks in Accreting Binaries,The Astrophysical Journal,2024-08-02,2024-01-02,13/7/2024,8/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,08/02/2024,,journal-article,10/2/2024,14/9/2024,,80NSSC22K0822;AST-2006176;PHY-1748958,Yes,,Yes,CHORUS,Crossref
3250,10.3847/1538-3881/ad1ff6,American Astronomical Society,NASA;NSF;Research Corporation for Scientific Advancement,10.13039/100000104;10.13039/100000001;10.13039/100009494,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/00jp8d455,Chanover Nancy J.;Davidson James W.;DeColibus Riley A.;Dembicky Jack;Dow Peter;Fagan Evan;Gray Candace;Henry Todd J.;Horch Elliott P.;Ketzeback William;Leonard Jonathan P.;Lesley D. Xavier;Majewski Steven R.;McDonald Devin;McMillan Russet;Pellegrino Richard A.;Shea Melissa A.;Sutherland Torrie;Townsend Amanda;Wilson John C.;Wilson Robert F.,Observations with the Differential Speckle Survey Instrument. XI. First Year of Observations from Apache Point Observatory,The Astronomical Journal,2024-02-19,2024-01-03,10/7/2024,19/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,19/02/2024,,journal-article,22/2/2024,13/9/2024,,80NSSC21K0631;AST-942 1909560;CS-SEED-2021-009,Yes,,Yes,CHORUS,Crossref
3251,10.3847/2041-8213/ad2615,American Astronomical Society,DOE ∣ SC ∣ Advanced Scientific Computing Research;NASA;NASA;NASA;NASA,10.13039/100006192;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104,https://ror.org/0012c7r22;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80,Casabona Gabriel O.;Fisher Robert T.,Turbulently Driven Detonation Initiation in Electron-degenerate Matter with Helium,The Astrophysical Journal Letters,2024-02-14,2024-01-02,10/7/2024,14/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,14/02/2024,https://www.osti.gov/pages/biblio/2305551,journal-article,22/2/2024,,,DE-SC0020347;80NSSC18K1013;80NSSC19K0601;HST- GO-15693;80NSSC22K0630,Yes,,Yes,CHORUS,Crossref
3252,10.1103/physrevb.109.064512,American Physical Society (APS),Advanced Scientific Computing Research;Ames Research Center;NASA;Office of Science;USDOE,10.13039/100006192;10.13039/100006195;10.13039/100000104;10.13039/100006132;10.13039/100000015,https://ror.org/0012c7r22;https://ror.org/02acart68;https://ror.org/027ka1x80;https://ror.org/00mmn6b08;https://ror.org/01bj3aw27,Del Maestro Adrian;Elsayed Mohamed Marwan;Kim Sang Wook;Kotov Valeri N.;Lakoba Taras;Nichols Nathan S.;Vanegas Juan;Wexler Carlos,Atomically thin superfluid and solid phases for atoms on strained graphene,Physical Review B,2024-02-20,,10/9/2024,,vor,,,,journal-article,22/2/2024,14/9/2024,,DE-AC02-06CH11357;80NSSC19M0143,Yes,,No,CHORUS,Crossref
3255,10.1093/mnras/stae504,Oxford University Press (OUP),NASA;NSF,10.13039/100000104;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62,Lai Dong;Li Rixin,Hydrodynamical evolution of black-hole binaries embedded in AGN discs  III. The effects of viscosity,Monthly Notices of the Royal Astronomical Society,2024-02-19,2024-02-27,18/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,20/02/2024,,journal-article,7/3/2024,13/9/2024,,AST-2107796,Yes,,Unknown,,Crossref
