Title;Journal Name;Open Access;Bibcode
Call for Observations of the Patroclus and Menoetius Mutual Events: Support for the NASA Lucy Mission to the Trojan Asteroids; Minor Planet Bulletin; True; 2024MPBu...51..212B
System performance of a cryogenic test-bed for the time-division multiplexing readout for the NewAthena X-ray Integral Field Unit; Journal of Astronomical Telescopes, Instruments, and Systems; True; 2024JATIS..10d6002V
2023 DZ2 Planetary Defense Campaign; The Planetary Science Journal; True; 2024PSJ.....5..141R
The assembly, characterization, and performance of SISTINE; Journal of Astronomical Telescopes, Instruments, and Systems; True; 2024JATIS..10c5003N
Development of a weather robust microphone configuration for sonic boom measurments; Acoustical Society of America Journal; False; 2024ASAJ..155A.257B
A Survey Of Radiative And Physical Properties Of North Atlantic Mesoscale Cloud Morphologies From Multiple Identification Methodologies; Atmospheric Chemistry & Physics; True; 2024ACP....24.6613E
Parameterization of H<SUB>2</SUB>SO<SUB>4</SUB> and organic contributions to volatile PM in aircraft plumes at ground idle; Journal of the Air & Waste Management Association; True; 2024JAWMA..74..490J
Keck Infrared Transient Survey. I. Survey Description and Data Release 1; Publications of the Astronomical Society of the Pacific; True; 2024PASP..136a4201T
Acoustic signatures of helium abundance in hydrogen for planetary science; Acoustical Society of America Journal; False; 2024ASAJ..155Q.345C
On the viability of electrochemical carbon dioxide in-situ resource utilization to produce chemical feedstocks on Mars; Chemical Engineering Journal; False; 2024ChEnJ.49653976S
Leveraging Eclipses to Build a Network for Broadening STEM Participation: An Evaluation of the Nationwide Eclipse Ballooning Project; Bulletin of the American Astronomical Society; False; 2024BAAS...56d.008C
Isotopic trichotomy of main belt asteroids from implantation of outer solar system planetesimals; Earth and Planetary Science Letters; True; 2024E&PSL.62618521N
Normal accident theory and learning from major accidents at the National Aeronautics and Space Administration (NASA); Space Policy; True; 2024SpPol..7001653T
FarView: An in-situ manufactured lunar far side radio array concept for 21-cm Dark Ages cosmology; Advances in Space Research; True; 2024AdSpR..74..528P
Turbulence-induced variability of a far-field Falcon-9 sonic boom measurement; Acoustical Society of America Journal; False; 2024ASAJ..155A.256N
Determining research priorities using machine learning; Astronomy and Computing; True; 2024A&C....4900879T
More realistic planetesimal masses alter Kuiper belt formation models and add stochasticity; Icarus; True; 2024Icar..41516057K
Continuity between NASA MODIS Collection 6.1 and VIIRS Collection 2 land products; Remote Sensing of Environment; True; 2024RSEnv.30213963R
Synthetic analogs for lava flows on the surface of Mercury: A mid-infrared study; Icarus; True; 2024Icar..41516078M
Predicting the Timing of the Solar Cycle 25 Polar Field Reversal; The Astrophysical Journal; True; 2024ApJ...962L..15J
Study of Jupiter's interior: Comparison of 2, 3, 4, 5, and 6 layer models; Icarus; True; 2024Icar..41115955M
Mars' atmosphere, volatiles, and climate as the sun heats up over the next 6 billion years; Icarus; True; 2024Icar..41015888J
Crash Chronicles: Relative contribution from comets and carbonaceous asteroids to Earth's volatile budget in the context of an Early Instability; Icarus; True; 2024Icar..41416032J
Achievement of the Planetary Defense Investigations of the Double Asteroid Redirection Test (DART) Mission; The Planetary Science Journal; True; 2024PSJ.....5...49C
Measurement of D/H and <SUP>13</SUP>C/<SUP>12</SUP>C ratios in methane ice on Eris and Makemake: Evidence for internal activity; Icarus; True; 2024Icar..41115923G
NEOMOD 3: The debiased size distribution of Near Earth Objects; Icarus; True; 2024Icar..41716110N
Spectral and timing analysis of the frequent flares experienced by AT2019wey; Journal of High Energy Astrophysics; True; 2024JHEAp..42..136Y
Forward and inverse predictive transient models of TREAT using surrogate reactivity models; Annals of Nuclear Energy; False; 2024AnNuE.20110449J
Development of the sensor head for the StarBurst multimessenger pioneer; Nuclear Instruments and Methods in Physics Research A; False; 2024NIMPA106469329W
Super-adiabatic temperature gradient at Jupiter's equatorial zone and implications for the water abundance; Icarus; True; 2024Icar..41416028L
POEMMA-Balloon with Radio: A balloon-born multi-messenger multi-detector observatory; Nuclear Instruments and Methods in Physics Research A; True; 2024NIMPA106969819B
